tail_ID,head_ID
KU KLUX KLAN,CORE
KU KLUX KLAN,NATIONAL STATES RIGHTS PARTY
CORE,NAACP
CORE,AMERICANS FOR DEMOCRATIC ACTION
CORE,NATIONAL STUDENT ASSOCIATION
CORE,AMERICAN COMMITTEE ON AFRICA
CORE,SCLC
CORE,AFRICAN FREEDOM MOVEMENT
CORE,SNCC
CORE,NEGRO AMERICAN LABOR COUNCIL
CORE,FREEDOM RIDERS
CORE,YOUNG PEOPLES SOCIALIST LEAGUE
CORE,UNITED AFRICA NATIONALIST MOVEMENT
CORE,ANTIOCH BAPTIST CHURCH
CORE,SHILOH BAPTIST CHURCH
CORE,ENGLEWOOD MOVEMENT
CORE,INTERNATIONAL UNION OF ELECTRICAL RADIO AND MACHINE WORKERS
CORE,COMMITTEE FOR EQUAL EMPLOYMENT OPPORTUNITY
CORE,PRESBYTERY OF NEW YORK
CORE,JOINT COMMITTEE ON EQUAL OPPORTUNITY
CORE,HARLEM PARENTS COMMITTEE
CORE,URBAN LEAGUE OF NEW YORK
CORE,UNITED COMMITTEE FOR ACTION NOW
CORE,CITYWIDE COMMITTEE FOR INTEGRATED SCHOOLS
CORE,STUDENT PEACE UNION
CORE,COFO
CORE,PROGRESSIVE LABOR MOVEMENT
CORE,HARLEM DEFENSE COUNCIL
CORE,MISSISSIPPI FREEDOM DEMOCRATIC PARTY
CORE,FOCUS
CORE,BOGALUSA VOTERS LEAGUE
CORE,BOGALUSA CIVIC AND VOTERS LEAGUE
CORE,BOGALUSA CIVIC VOTERS LEAGUE
CORE,COUNCIL OF ORGANIZATION FOR CIVIL RIGHTS
NAACP,AMERICANS FOR DEMOCRATIC ACTION
NAACP,LIQUOR ACTION COMMITTEE
NAACP,AMERICAN JEWISH CONGRESS
NAACP,SCLC
NAACP,SNCC
NAACP,CONGRESS ON RACIAL EQUALITY
NAACP,FREEDOM RIDERS
NAACP,YOUNG PEOPLES SOCIALIST LEAGUE
NAACP,ALBANY MOVEMENT
NAACP,UNITED AFRICA NATIONALIST MOVEMENT
NAACP,ANTIOCH BAPTIST CHURCH
NAACP,URBAN LEAGUE
NAACP,NEWARK COORDINATING COUNCIL
NAACP,JOINT COMMITTEE ON EQUAL OPPORTUNITY
NAACP,HARLEM PARENTS COMMITTEE
NAACP,URBAN LEAGUE OF NEW YORK
NAACP,UNITED COMMITTEE FOR ACTION NOW
NAACP,UNITED NEGRO PROTEST COMMITTEE
NAACP,FREEDOM NOW COMMITTEE
NAACP,LONG ISLAND COORDINATING COMMITTEE FOR CIVIL RIGHTS
NAACP,CITYWIDE COMMITTEE FOR INTEGRATED SCHOOLS
NAACP,STUDENT PEACE UNION
NAACP,FREEDOM NOW
NAACP,COMMITTEE FOR FREEDOM NOW
NAACP,HARLEM DEFENSE COUNCIL
NAACP,MISSISSIPPI FREEDOM DEMOCRATIC PARTY
NAACP,CATHOLIC INTERRACIAL COUNCIL
NAACP,COORDINATING COUNCIL OF COMMUNITY ORGANIZATION
NAACP,CONGRESS FOR RACIAL EQUALITY
AMERICANS FOR DEMOCRATIC ACTION,YOUNG PEOPLES SOCIALIST LEAGUE
NATIONAL STUDENT ASSOCIATION,NORTHERN STUDENT MOVEMENT
AFL CIO,ST CATHERINES AME ZION CHURCH
LIQUOR ACTION COMMITTEE,NONPARTISAN CITY WIDE LEADERSHIP COMMITTEE
SCLC,SNCC
SCLC,CONGRESS ON RACIAL EQUALITY
SCLC,ALBANY MOVEMENT
SCLC,ALABAMA CHRISTIAN MOVEMENT FOR HUMAN RIGHTS
SCLC,CRUSADE FOR VOTERS
SCLC,STUDENT PEACE UNION
SCLC,COFO
SCLC,ST FRANCIS BAPTIST CHURCH
SCLC,COORDINATING COUNCIL OF COMMUNITY ORGANIZATION
SCLC,FREEDOM MOVEMENT
SCLC,CONGRESS FOR RACIAL EQUALITY
AFRICAN FREEDOM MOVEMENT,NEGRO AMERICAN LABOR COUNCIL
SNCC,CONGRESS ON RACIAL EQUALITY
SNCC,CRUSADE FOR VOTERS
SNCC,COFO
SNCC,MISSISSIPPI FREEDOM DEMOCRATIC PARTY
SNCC,CATHOLIC INTERRACIAL COUNCIL
SNCC,CONGRESS FOR RACIAL EQUALITY
SNCC,WEB DUBOIS CLUB
CONGRESS ON RACIAL EQUALITY,NEGRO AMERICAN LABOR COUNCIL
CONGRESS ON RACIAL EQUALITY,CIVIC INTEREST GROUP
CONGRESS ON RACIAL EQUALITY,UNITED FREEDOM MOVEMENT
CONGRESS ON RACIAL EQUALITY,CATHOLIC INTERRACIAL COUNCIL
CONGRESS ON RACIAL EQUALITY,BOGALUSA CIVIC VOTERS LEAGUE
ALBANY MOVEMENT,SHILOH BAPTIST CHURCH
UNITED AFRICA NATIONALIST MOVEMENT,PROGRESSIVE LABOR MOVEMENT
SHILOH BAPTIST CHURCH,MT ZION BAPTIST CHURCH
URBAN LEAGUE,NEWARK COORDINATING COUNCIL
COMMITTEE FOR EQUAL EMPLOYMENT OPPORTUNITY,PRESBYTERY OF NEW YORK
JOINT COMMITTEE ON EQUAL OPPORTUNITY,URBAN LEAGUE OF NEW YORK
HARLEM PARENTS COMMITTEE,CITYWIDE COMMITTEE FOR INTEGRATED SCHOOLS
BOGALUSA VOTERS LEAGUE,CONGRESS FOR RACIAL EQUALITY
FREEDOM MOVEMENT,CONGRESS FOR RACIAL EQUALITY